TX	Community News: Open house in Buda on FM 1626 construction: TRAVIS COUNTYAUSTINInput sought on library plansThe… http://t.co/dGWRaIYkML	Sat May 02 05:20:36 +0000 2015	0
TX	Lost Creek’s Lux still battling to recognize WWII bomber Hot Stuff: When Jim Lux latches onto a cause it’s for… http://t.co/sJXNDXGrHv	Sat May 02 05:20:36 +0000 2015	0
TX	Austin companies making mark in surging mobile payment industry: Walk into any Walgreens drugstore and you can pay… http://t.co/qaTQAPJBKM	Sat May 02 05:20:37 +0000 2015	0
TX	Top Local Business Stories of the Week: TEXAS ECONOMYTexas recession possibile, but long-term view still bullish:… http://t.co/lGGwcums5S	Sat May 02 05:20:37 +0000 2015	0
TX	Planning ahead key to keeping business in familia: After spending years building up her Austin business, Elizabeth… http://t.co/UP1zmcwNbw	Sat May 02 05:20:37 +0000 2015	0
TX	Have a great workplace? Let us know: Help us spread the word about the best places to work in Austin.Nominations… http://t.co/wJscWGqfhB	Sat May 02 05:20:38 +0000 2015	0
TX	The other enemy of 401(k) plans — and your retirement: What government gives with one hand, it takes back with the… http://t.co/UjEfXZiv38	Sat May 02 05:20:38 +0000 2015	0
WV	@Ashton5SOS im not from lisbon, im not going to the concert on monday, i dont have any of 5sos guys following me 😭😭 please follow me ♥ x170	Sat May 02 21:06:54 +0000 2015	0
CA	Car shopping (@ Hoehn Mercedes-Benz - @mbusa in Carlsbad, CA) https://t.co/SxGfgDeJOT	Sat May 02 21:07:01 +0000 2015	0
CA	For all of you #Entourage fans out there, here is THE '65 Lincoln Continental that Drama drove in the… https://t.co/HtKsZO3CbS	Sat May 02 21:07:10 +0000 2015	0
WV	A 2000 Toyota Celica was just scanned near Eastlake, OH 44095 http://t.co/Pa268hmek6 #cars #1millionscans #android	Wed Apr 29 22:48:17 +0000 2015	0
NM	This just happened out of no where @rossfordtoyota 😂 #raingoaway we need #sunshine @ Ross Ford Toyota https://t.co/CRVvRlppav	Wed Apr 29 22:48:31 +0000 2015	0
TX	BITCHES LOVE #Lotus #HahaHA 😂😂😂 I aint bought nothin but ah soda out dat hoe 😩😆😂 @ $outh$ide Of… https://t.co/0nBWug8eSY	Wed Apr 29 22:48:31 +0000 2015	0
TX	Georgetown council makes initial vote to increase its salaries: In a preliminary decision, Georgetown City Council… http://t.co/MVs8FZrnAN	Wed Apr 29 22:48:33 +0000 2015	0
TX	Pilot flies again with Parkinson’s brain implant: One million Americans suffer from Parkinson’s disease, a chronic… http://t.co/OJy5VHE1Sl	Wed Apr 29 22:48:34 +0000 2015	0
TX	DA to devote prosecutor to repeat burglary cases: Austin Police and the Travis County District Attorney’s Office… http://t.co/0rvtc2iduP	Wed Apr 29 22:48:34 +0000 2015	0
WY	A 2008 BMW 5 Series was just scanned near Chicago, IL 60639 http://t.co/Pa268hmek6 #iphone #autocheck #buyacar	Wed Apr 29 22:48:57 +0000 2015	0
WY	Check out who was very brave tonight and has earned a trip to mini golf...  #Swimming #Pool @ Black… https://t.co/Rza4DnuGcH	Wed Apr 29 22:49:04 +0000 2015	0
NV	@Natalie_Mariiie you're so freacking gorgeous, smart and funny!! And I know a lot of guys that would be proud to be your boyfriend 💕	Thu Apr 30 06:06:59 +0000 2015	0
WA	#SeattleFree Big TV Mitsubishi 55" HD (Everett): I have a great working Mitsubishi Big screen TV for FREE! This is… http://t.co/VRxkrexcOL	Thu Apr 30 06:09:10 +0000 2015	0
WA	#SeattleFree Big TV Mitsubishi 55" HD (Everett): I have a great working Mitsubishi Big screen TV for FREE! This is… http://t.co/HY2riMZV06	Thu Apr 30 06:09:13 +0000 2015	0
WA	#SeattleFree Big TV Mitsubishi 55" HD (Everett): I have a great working Mitsubishi Big screen TV for FREE! This is… http://t.co/vmQUNEoVsZ	Thu Apr 30 06:09:14 +0000 2015	0
AK	Im away to edinburgh to hunt down and punch all they gimps on the edinburgh snapchat story thing	Sat May 02 11:28:20 +0000 2015	0
WI	Bed and Breakfast time! (@ Eagle Harbor Inn in Ephraim, WI) https://t.co/ZXFLImhbCH	Sat May 02 13:14:57 +0000 2015	0
WY	#EdwardArk My Hustle Face &amp; TMT Fight Hat Sorry Guys Im Sold Out But It Look Good On Me Tho 😆 @… https://t.co/PnKdj2Y7Pi	Sat May 02 13:15:25 +0000 2015	0
WV	This should be an interesting day.. im really not to sure how its going to turn out.	Sat May 02 13:15:32 +0000 2015	0
WV	Back at it 😈 @ im not that pissed off i swear https://t.co/kEf8cbcXeF	Sat May 02 13:15:53 +0000 2015	0
