CA	https://t.co/bmhFK1wrGJ THANK YOU!! Yall mad cause he a smart fighter. He a fucking "boxer"	Sun May 03 05:01:36 +0000 2015	0
CA	Great selection at Pat Holdens in Oxnard. @ Pat Holden's Liquor https://t.co/tbUTUGtZoU	Sun May 03 05:01:42 +0000 2015	0
AK	Mayweather is a smart fighter 👏	Sun May 03 05:01:46 +0000 2015	0
AK	#vw #volkswagen #camper #campervan #panelvan #t4 #transporter @ GO Outdoors Blackburn https://t.co/hl7Zut26CY	Sun May 03 12:28:25 +0000 2015	0
NM	Im Still Just Want You😢😢	Sun May 03 12:29:14 +0000 2015	0
AK	@TommySmythESPN  not a coward tam Im a fan of youres all the best coz you're pick s are piss	Sat May 02 23:07:29 +0000 2015	0
CA	Meditating lotus pond with peaceful heart http://t.co/YsObJdLaNP	Sat May 02 23:07:38 +0000 2015	0
TX	Dinner with my family visiting from upstate NY! (@ The Oasis on Lake Travis - @oasislaketravis in Austin, TX) https://t.co/Qf6omrSlzI	Sat May 02 23:07:44 +0000 2015	0
NV	Little different feel from running the mini this morning. #REVIndyEvent @ Indy Motor Speedway https://t.co/4ZZWZJD9p3	Sat May 02 23:07:48 +0000 2015	0
NV	Impromptu road trip to find and shoot zeromc, the Tesla of motorcycles. Way more happy to just spend… https://t.co/LSjECJq5s0	Sat May 02 23:08:05 +0000 2015	0
TX	Rent #kayak #Austin #BartonSprings #beach #bike #beans #color #river #ColdWater #Zilker #ZilkerPark… https://t.co/N2eraPWCMM	Sat May 02 23:08:15 +0000 2015	0
WA	For Sale: 1971 Dodge Challenger, 50 miles on full pro restoration, number matching 383 cu. in., auto,… https://t.co/oSfA6o5QLX	Sat May 02 23:08:18 +0000 2015	0
NV	Yeah! #winningticket thanks! Sadly, not enough for a @cadillac #Escalade #damn @ Kentucky Derby,… https://t.co/gEBAOIX5xJ	Sat May 02 23:08:28 +0000 2015	0
WV	Blackbird and pilot @ Intrepid Sea, Air &amp; Space Museum https://t.co/AsesA4mIEY	Sat May 02 23:08:28 +0000 2015	0
WY	Hunt Transportation: Flatbed Midwest Regional Fleet - More... (#DesMoines, IA) http://t.co/oSKebQnPyE #Transportation #VeteranJob #Job	Sun May 03 12:52:25 +0000 2015	0
AK	@Jen_m101 @SkittleBomb @kaysiev58 @CBenvie @lorna_m1 @AngelaS09 @LoobFletcher lmfao. i love it. im gonna have to go and put it on	Sun May 03 12:52:55 +0000 2015	0
FL	worldmcqueen mini handbag !!! 💗💗💗💗💗  #personalshopper #amazing #luxo #classic #chic #instagood… https://t.co/qFDH9p0R4d	Sun May 03 14:57:48 +0000 2015	0
NV	I let you look left and ill look right, but im still gonna look left	Sun May 03 14:57:48 +0000 2015	0
TX	Time to get my tan on! (@ Malibu Tan in Friendswood, TX) https://t.co/YL9hgJMeRF	Sun May 03 14:58:21 +0000 2015	0
TX	One final round of fratting with the Cadillac. Enjoyed golfing, drinking mint juleps while watching… https://t.co/ObiAJij8y9	Sun May 03 14:58:26 +0000 2015	0
