AK	BMW	100
AK	AUDI	98
AK	FORD	66
AK	HONDA	56
AK	TOYOTA	42
AL	HONDA	38
AL	TOYOTA	14
AL	TESLA	12
AL	ACURA	6
AL	CADILLAC	6
AR	BENTLEY	18
AR	JEEP	6
AR	MERCURY	6
AR	TOYOTA	6
AR	FORD	4
AZ	BMW	82
AZ	AUDI	58
AZ	JEEP	50
AZ	HONDA	24
AZ	FERRARI	18
CA	FORD	244
CA	TOYOTA	236
CA	TESLA	196
CA	AUDI	154
CA	BMW	154
CO	TOYOTA	42
CO	TESLA	18
CO	FORD	16
CO	BMW	14
CO	HONDA	14
CT	BMW	36
CT	AUDI	32
CT	TESLA	26
CT	TOYOTA	22
CT	BENTLEY	12
DE	MORGAN HERITAGE	56
DE	BMW	14
DE	BENTLEY	12
DE	KINDER MORGAN INC	12
DE	VOLVO	12
FL	FORD	136
FL	TESLA	114
FL	BMW	94
FL	AUDI	80
FL	TOYOTA	66
GA	FORD	34
GA	AUDI	20
GA	TOYOTA	16
GA	CHRYSLER	12
GA	FORD F-SERIES SUPER DUTY	12
HI	LEXUS	34
HI	FORD	32
HI	MITSUBISHI	8
HI	VOLKSWAGEN NEW BEETLE	8
HI	FORD CUSTOM	6
IA	LEXUS	18
IA	AUDI	16
IA	TOYOTA	12
IA	AUSTIN METRO	6
IA	BENTLEY	6
ID	BMW	8
ID	AUSTIN USA	6
ID	IRONHIDE GMC TOPKICK	6
ID	JAGUAR LAND ROVER	6
ID	VOLVO	6
IL	VOLVO	44
IL	NISSAN	38
IL	TESLA	26
IL	BENTLEY	12
IL	FORD	12
IN	KIA	38
IN	TOYOTA	18
IN	BENTLEY	12
IN	CHEVROLET	12
IN	CHRYSLER	12
KS	FORD	18
KS	TESLA	8
KS	AUDI	6
KS	HONDA	6
KS	KIA	6
KY	FORD	46
KY	AUDI	44
KY	LINCOLN MKZ	18
KY	VOLVO	14
KY	HYUNDAI SONATA	12
LA	MERCEDES-BENZ	50
LA	TOYOTA	18
LA	KIA	12
LA	EAGLE TELEMEDICINE	6
LA	SAAB	6
MA	TESLA	34
MA	TOYOTA SUPRA	12
MA	BMW	8
MA	BENTLEY	6
MA	LAMBORGHINI	6
MD	TOYOTA	22
MD	TESLA	14
MD	BENTLEY	12
MD	KIA	12
MD	TESLA ENERGY	12
ME	FORD	56
ME	HONDA	44
ME	GMC SIERRA	20
ME	TESLA	16
ME	BMW	12
MI	FORD	64
MI	TOYOTA	44
MI	BMW	24
MI	PONTIAC	22
MI	TESLA	22
MN	BMW	20
MN	TESLA	20
MN	AUDI	18
MN	FORD	12
MN	FORD EVERYDAY	12
MO	FORD	8
MO	FIAT 500 ABARTH	6
MO	HONDA	6
MO	MERCEDES-BENZ	6
MO	TESLA	6
MS	BMW	18
MS	FORD	18
MS	CHEVORLET	6
